CSCO,MNST,TCOM,GILD,SWKS,LRCX,CHTR,MXIM,TTWO,AMD,MELI,ADBE,ALGN,PEP,COST,MDLZ,SNPS,BIIB,SBUX,XEL,BIDU,AMZN,INTC,WDC,SIRI,ATVI,IDXX,BKNG,TXN,ADP,CTSH,ROST,CTXS,FAST,MSFT,ADSK,NTES,NTAP,ASML,KLAC,CTAS,NVDA,INCY,MAR,PCAR,CMCSA,VRSK,LBTYA,ISRG,VRTX,AMAT,EBAY,DLTR,ALXN,REGN,LBTYK,NFLX,UAL,TTWO,VRSN,WLTW,EXC,ADI,ORLY,GOOGL,ULTA,WBA,GOOG,AVGO,AMGN,CSX,CHKP,PAYX,QCOM,MU,SGEN,CDNS,BMRN,FISV,INTU,EA,ANSS,AAL,CSGP,ILMN,AAPL,TMUS,XLNX,CERN,LULU,MCHP,CPRT,NDX100_1990_2020,SP500_1990_2020,DJI30_1990_2020
57.51816064,63.17704613,42.65485759,49.99850286,59.95040954,49.00661624,49.97879764,56.4989525,59.70670572,35.41544345,43.34025209,50.52044958,51.38287559,54.34565074,52.18399565,50.58409221,50.4712502,55.21249658,52.10605186,63.10338611,46.46626004,42.41961272,53.39976444,52.00632035,52.63175856,50.49157492,65.4326527,37.18805721,53.92542339,56.82444876,59.79189036,58.01787678,38.61141182,48.53828514,48.16732416,46.50527203,64.29851957,40.85764582,49.62947575,52.18160308,63.24105384,51.20945428,55.29044041,50.4639479,47.39406607,53.73476994,49.30625443,45.61260249,55.81624337,55.91594266,50.07665291,46.01384488,51.97689924,48.20906029,52.21113601,46.38659401,44.5158744,58.68391461,59.70670572,48.0924525,53.815805,55.22950301,51.35759131,50.75180099,42.73220163,56.57304664,60.69739002,43.57650669,59.43234075,51.11434869,49.83521535,62.17812464,55.50262051,45.15845617,37.80158163,44.22457418,50.52398566,62.00112951,59.76811007,43.8105175,62.51022827,54.92324541,54.75424885,54.07071145,49.49503757,45.78793289,55.29245225,41.75363359,56.25374163,73.5879935,51.51163472,47.22960717,48.10386473,48.94879511,49.65876137
59.95321024,61.15393846,43.74731321,52.50213361,61.91949502,50.778345,45.89417652,57.76167285,58.87640599,31.61097624,46.99766734,50.01872665,49.8323931,54.85928349,51.58822233,50.98861329,49.26311978,57.78719931,53.33342056,64.06565599,46.55677472,41.93604745,51.68191374,52.28692048,50.45315775,50.32545437,65.82772985,39.62580956,55.59364907,57.86065011,61.13485357,55.78793876,40.21975934,49.06707091,48.70078275,47.19552521,66.63072219,40.13600656,50.78010483,54.17449743,62.76598269,51.64587477,58.25988373,51.48721076,47.34993643,50.46550183,50.74800534,46.24395425,53.10556917,57.15489314,50.93710615,46.08773292,53.30198933,49.58963019,55.0572949,46.28095797,48.01887212,61.49351956,58.87640599,46.65968962,49.863327,54.59036851,53.35301683,53.98015888,42.58863492,52.97370172,60.73131157,43.22383135,60.34603973,50.48269445,48.67130783,59.9585646,56.70946623,48.25480584,40.19032593,45.0830425,49.07329828,61.62247916,60.04586365,46.08070236,61.39482271,54.39847147,59.67613407,54.78900377,56.06422016,49.33930602,56.84697296,41.24912339,54.44173718,73.5879935,52.85345835,47.16563682,49.64649601,49.33514543,49.71393006
57.92756065,62.10623628,48.95589024,52.32555863,63.79335638,53.57159176,45.5999957,60.07665288,59.45961326,40.81841879,47.68313259,50.12547828,49.06656736,54.54190463,51.16165855,51.65369718,50.588626,57.31781734,53.47497654,65.22887379,50.81511729,45.77756027,53.36323955,52.33930587,54.36163453,49.64955737,65.56931439,42.46724243,57.04772647,56.42473965,59.95116913,56.36102512,39.96275852,50.70884511,47.12840504,48.43447472,67.84114307,40.06945103,54.64938891,55.0713163,64.08190342,53.6477351,58.28835062,51.33417131,48.87691008,50.33348339,51.83444162,47.19512988,51.97915002,57.38554712,54.44026591,45.1291568,54.64456782,47.68254284,54.249957,47.43673734,61.34325355,62.84621422,59.45961326,47.34130281,49.32791596,57.48715333,53.88420985,52.50916647,46.33681815,54.36974314,59.51041506,47.38276872,60.78974238,50.31219952,49.28395278,61.07149746,55.47714398,46.23515867,42.92475285,44.59613582,50.61730972,57.81841074,57.32873917,44.19655871,62.04537893,55.44155901,61.04778863,55.72679926,53.30839749,50.36200858,58.8454084,43.2442987,55.84196226,73.15159506,55.60697298,51.63880737,50.73461874,50.51954085,50.31486366
61.76277057,63.33202022,50.22457293,53.58510946,65.82309211,54.97891228,48.51105079,60.63463455,61.13657217,41.59314877,50.42177589,54.06330263,53.64043445,57.97179237,54.60727197,53.84697983,54.11784745,54.72378446,56.31416309,64.80884593,51.62073134,51.34978484,55.14354872,50.42000887,56.15080618,52.35272579,69.57413553,43.02659445,59.08258505,61.38167225,62.08693213,59.51268705,43.23286257,52.65694332,51.31473366,50.36217068,66.85294506,45.44995828,55.95084091,57.70828296,64.82238263,56.00304347,58.46418946,56.30582077,47.88060143,52.88327145,55.49903383,47.08739397,53.92600471,58.83317988,55.85786152,56.80795662,59.84784678,48.25676951,54.86614153,47.56177871,64.3389808,66.11275019,61.13657217,46.8400582,51.22416741,53.92831418,54.36514907,56.21233966,51.62375843,58.8414601,60.28252597,52.64898542,60.54243195,51.98209844,51.34884341,58.68119517,58.47403719,47.05929402,44.21183212,46.68113793,50.77171511,57.46601123,60.40123609,49.22850802,65.06685138,59.07817321,63.71265934,59.23912761,54.30161295,53.68331401,60.32378959,36.06463972,59.36735071,74.17026968,56.6713695,56.69578616,54.54380247,54.11730801,54.08953885
59.3054261,62.35350109,51.49189856,53.90809948,67.25432794,54.0691615,48.4613615,63.46448852,61.62916276,41.03741467,52.07424238,55.15828011,52.37224165,56.87670636,55.78897913,50.35592871,55.66716596,55.70738723,64.72925608,65.72228614,53.32599229,52.15535314,52.90844148,51.53143794,53.9623588,52.67456483,70.6755931,41.84119815,59.34249995,61.90645646,61.6335785,60.09751205,45.5466113,52.0696672,51.47894785,50.14669069,67.8136375,44.79867095,52.42228638,47.10398996,64.64097963,56.39600701,60.64749181,56.36807355,47.60047436,51.98599139,58.81841553,47.2120523,51.59804865,57.2580566,52.95989398,55.54284249,63.11315219,49.86774055,54.69678778,48.28303467,65.63590861,66.84494755,61.62916276,48.85036049,49.89953994,54.40185381,53.54948023,56.82087002,52.94259652,61.42387747,59.11634172,54.25946645,62.11919562,52.16439161,48.45458889,58.85269671,60.37385765,47.75827545,44.40637376,46.63790635,51.47793678,59.10212108,61.42240474,50.44702792,66.00017515,59.22078001,63.84594764,62.7296837,55.80180234,54.32666909,58.56206646,37.41356164,59.47130016,76.65450082,56.59547483,58.53090496,54.90236635,52.67075224,51.87026185
57.35190931,62.91143526,50.27285635,55.17471258,68.69049217,55.38818758,47.82800133,64.03506389,63.66203956,46.90807516,52.2962487,52.22728045,53.88959316,57.23810522,57.06374375,48.55246816,57.77432013,56.93221463,64.49472305,64.9950499,51.2305509,51.00314694,49.99195558,44.94350082,57.79135405,53.69908789,69.22858089,42.3847994,59.29917589,60.90749465,61.72992633,60.8956215,45.52575778,51.36589454,50.87533648,50.25677746,64.36611007,42.7565738,54.99917529,47.45386638,65.02570145,55.62515186,63.30505812,58.23698374,49.28850283,53.1869002,57.7695214,49.58750467,52.53175587,56.8485156,53.59474324,53.33732445,58.48993959,49.56971742,55.53912332,50.91246627,66.89253423,67.3443676,63.66203956,45.90632641,51.78071141,54.25766769,53.99578447,57.77927461,51.31489068,62.07905596,59.58653926,52.67935109,61.76062524,52.09619337,50.2759256,58.74459807,59.04322493,48.87045619,44.63935502,48.4168898,52.49623532,60.65089177,62.01160323,50.32800787,64.710771,60.04388616,63.26905131,62.00298153,57.78350987,54.46205024,60.32478565,36.68788359,61.31417037,77.1756899,57.39216854,60.08624357,54.76337321,53.27177409,51.95823536
49.78791815,61.23905601,50.01940818,53.1721362,66.892028,53.24447802,46.36532417,63.01699129,59.43738202,49.8156097,52.87110039,49.58421769,54.99206476,51.71829213,53.50095314,46.17630105,55.95836813,55.46196691,64.78512513,65.27326565,50.21261283,49.79023864,43.68627295,41.36415625,56.7071758,51.45506439,67.41402977,39.61352597,58.33071856,57.6752943,58.53607155,58.93575122,43.76294351,48.84956943,38.82492824,44.9209105,62.75190484,40.05367367,53.52215129,44.27311192,64.68081668,48.13777699,63.40564516,56.02725727,46.71735332,52.01808301,54.69232126,46.91407563,49.1661677,55.52469214,49.9972134,49.3683644,60.16688119,48.2902598,53.22972246,48.21789353,67.90777575,63.86145793,59.43738202,43.31394641,49.26570222,54.54851226,49.74391401,57.43856798,46.88686033,61.72731048,57.11321364,47.65736242,59.02537683,51.36687016,47.98495343,55.77701221,55.79905473,46.85464435,41.14798009,48.8578336,50.55442796,60.71009116,58.08381022,48.53181242,60.49109268,54.86047475,57.1482248,60.80118549,58.45287554,49.45734915,60.32478565,38.64073926,59.47998732,77.83387253,53.62116031,57.30689685,48.92710843,49.84963108,47.65232694
49.2230244,61.60949077,49.08082801,50.80600504,67.17909366,52.36909388,41.94458452,62.82324536,60.16227085,47.71321673,50.81245923,47.24605743,54.55049329,49.22554401,51.14378979,44.33577003,54.19615942,53.35972325,62.92189748,63.19484449,46.62724675,48.62284121,42.28972343,44.37383004,52.62200015,52.56354679,63.53104923,38.62360161,55.9525756,54.1938788,55.59583419,57.51042626,41.94443886,47.50009209,35.85592396,41.50216624,60.05144601,39.86523393,51.09880313,43.44114465,59.1628473,46.06446039,61.05401892,51.73974838,45.19582815,46.36462603,53.29616201,46.22418887,47.39589058,53.38713546,49.03170416,47.11798684,56.79399665,46.94281274,51.1105841,47.68043541,64.74724993,61.98466308,60.16227085,41.91123245,47.8037033,52.52481767,48.39914652,57.68834843,44.63915012,58.88011476,54.14918256,45.33047342,59.22757805,47.8599777,45.88932738,49.3048028,51.2836066,45.06897081,39.85345655,45.58798526,48.69126678,57.7199622,56.69506514,46.7307531,71.59413559,50.61504305,53.12673029,59.31224603,55.33681541,55.9776965,57.34860151,36.90016843,57.48987107,73.7978267,53.33117168,56.36294364,47.72788355,46.75920014,45.05706699
51.80017568,63.03474876,47.30686513,52.27904246,69.27697868,52.65002502,43.37206888,63.29025134,60.82074141,47.12537758,52.30095989,50.04541819,54.7592655,49.99842172,52.74725415,44.72484322,55.85229954,53.91716323,64.92748322,65.84670486,46.67089495,51.85857964,44.22424006,45.97750283,53.91003087,53.0075431,64.44773643,40.29506503,58.2875765,53.64573254,58.33468655,57.44601739,45.91217852,48.48162058,38.56689019,43.69038149,60.69082987,40.10817439,53.05062518,44.61070974,62.47456132,49.37728607,60.91063655,52.20440201,46.80360431,44.33691066,54.33573331,45.96656331,48.09938386,47.76700259,50.28621689,47.46770855,57.19849567,52.41087801,52.77895506,47.48488827,64.94041131,64.84829544,60.82074141,43.25914951,52.25338234,52.65780823,49.36465361,58.83786106,44.88874238,59.40834591,55.78622345,45.54083121,60.68968548,49.31706798,46.12489832,53.09405683,50.63454168,32.92133227,41.94883308,45.07499346,47.81932279,59.82824288,59.28799504,48.70018323,72.52181856,51.90596917,55.64170643,60.17519445,56.29377024,59.14975458,54.70362634,37.83735212,58.38467014,74.85052148,53.78368005,57.60144774,49.8037169,49.03716397,48.40394617
46.71520419,57.61627428,46.18938385,52.82804646,67.13270549,46.2039936,42.66555915,58.47758407,58.955812,45.9540014,48.31081784,47.22898868,43.2175191,44.87018638,56.17526112,42.52804948,52.01254824,62.0557634,61.39896432,61.7988603,45.48288584,64.4425749,40.41130178,42.43427606,51.9615289,53.84550039,58.21466501,39.78200017,53.3940407,48.51307769,53.91189727,53.48362027,43.00711414,46.44334617,35.51796609,40.91454019,60.78197255,39.25508581,50.02139488,41.88041917,58.67807368,45.78711138,58.5906071,46.45376306,39.13273652,42.41780191,54.71114361,47.31186832,45.3756417,45.01307977,46.44295682,45.00461705,58.86449822,49.91831075,53.28069348,48.61846332,64.39561651,58.03222019,58.955812,42.70713898,50.22130126,48.06323174,46.03787782,53.11547381,51.73239787,56.01708324,53.75129091,52.391901,55.75545623,46.1476751,44.58560838,49.50851631,45.12035586,31.44405303,40.88598382,44.34371459,47.65879981,56.78898322,54.86667809,45.70111994,70.95695851,48.45764065,50.2059604,58.96704789,53.62235021,57.08730625,57.09203117,36.78410611,55.63664842,72.08717421,51.04105966,55.43142801,48.21226418,46.22285357,45.22043692
