Date,Open,High,Low,Close,Adj Close,Volume
2015-12-08,173.199997,181.289993,171.610001,180.509995,167.986420,1225400
2015-12-09,179.839996,181.660004,176.119995,176.500000,164.254669,1306000
2015-12-10,176.940002,179.940002,174.529999,177.169998,164.878174,1031600
2015-12-11,175.059998,176.410004,169.449997,172.529999,160.560074,1603100
2015-12-14,172.809998,177.699997,172.009995,177.580002,165.259735,1006900
2015-12-15,178.000000,183.929993,177.979996,180.669998,168.135330,1273400
2015-12-16,183.320007,184.949997,180.830002,184.339996,171.550720,733700
2015-12-17,185.000000,185.850006,181.100006,182.360001,169.708115,746600
2015-12-18,182.050003,182.979996,177.389999,181.809998,169.196274,993100
2015-12-21,182.520004,185.240005,178.270004,180.000000,167.511826,681600
2015-12-22,181.000000,181.520004,177.759995,181.419998,168.833313,981700
2015-12-23,183.520004,183.520004,181.050003,182.119995,169.484741,530700
2015-12-24,181.809998,186.000000,181.500000,183.850006,171.094711,338100
2015-12-28,182.199997,184.000000,177.869995,181.729996,169.121811,464100
2015-12-29,182.380005,186.449997,182.380005,184.729996,171.913651,404100
2015-12-30,184.029999,184.759995,180.160004,180.649994,168.116760,684700
2015-12-31,180.029999,182.429993,179.339996,181.240005,168.665817,492200
2016-01-04,172.149994,173.460007,165.059998,172.119995,160.178513,1119200
2016-01-05,173.039993,175.000000,171.500000,173.860001,161.797806,731500
2016-01-06,172.000000,175.720001,170.490005,173.669998,161.621002,958100
2016-01-07,165.300003,167.490005,162.779999,165.369995,153.896851,1316800
2016-01-08,167.110001,170.000000,162.889999,163.460007,152.119354,965600
2016-01-11,160.000000,163.479996,155.240005,158.789993,147.773346,1210500
2016-01-12,160.309998,161.389999,158.470001,160.860001,149.699768,774500
2016-01-13,162.000000,162.000000,157.360001,157.809998,146.861359,664000
2016-01-14,157.000000,164.380005,155.580002,163.520004,152.175186,879600
2016-01-15,158.039993,160.979996,152.479996,154.990005,144.236984,1001300
2016-01-19,158.300003,164.880005,158.300003,161.649994,150.434921,1384600
2016-01-20,156.869995,161.410004,154.509995,160.320007,149.197205,1020300
2016-01-21,160.559998,161.449997,157.020004,159.160004,148.117691,1120800
2016-01-22,162.220001,162.990005,151.149994,153.500000,142.850372,1670400
2016-01-25,154.000000,160.889999,153.100006,158.479996,147.484879,834400
2016-01-26,155.759995,155.970001,150.500000,152.399994,141.826691,1231500
2016-01-27,152.729996,155.500000,151.119995,154.039993,143.352905,1005400
2016-01-28,155.320007,156.660004,152.009995,153.750000,143.083038,1036900
2016-01-29,155.580002,157.559998,154.210007,156.139999,145.307220,1187400
2016-02-01,155.850006,157.380005,153.529999,156.509995,145.651566,820300
2016-02-02,155.000000,156.850006,154.119995,154.729996,143.995026,914200
2016-02-03,154.940002,155.490005,146.160004,149.520004,139.146530,1209800
2016-02-04,149.470001,152.779999,148.600006,150.690002,140.235306,715300
2016-02-05,151.399994,151.399994,138.880005,139.470001,129.793732,1172500
2016-02-08,136.710007,138.000000,130.100006,133.130005,123.893623,1260800
2016-02-09,131.690002,139.000000,129.600006,136.399994,126.936752,1152800
2016-02-10,137.929993,140.389999,137.509995,138.190002,128.602600,621900
2016-02-11,134.039993,139.570007,132.500000,136.850006,127.355553,616600
2016-02-12,140.449997,145.289993,137.289993,138.429993,128.825882,1229100
2016-02-16,143.419998,153.000000,143.419998,150.639999,140.188766,1797800
2016-02-17,152.000000,156.690002,148.039993,155.960007,145.139709,1122000
2016-02-18,157.000000,157.649994,150.490005,152.270004,141.705734,758500
2016-02-19,151.059998,155.270004,150.589996,153.940002,143.259857,799600
2016-02-22,156.910004,162.539993,155.000000,160.080002,148.973907,945700
2016-02-23,160.330002,160.600006,154.800003,157.369995,146.451874,802400
2016-02-24,155.800003,160.429993,152.000000,159.899994,148.806366,848200
2016-02-25,146.889999,146.889999,132.000000,136.229996,126.778572,3678000
2016-02-26,137.750000,142.600006,135.320007,135.380005,125.987541,1642100
2016-02-29,135.149994,136.669998,134.139999,134.610001,125.270950,1315900
2016-03-01,136.089996,140.139999,135.009995,138.770004,129.142334,1341500
2016-03-02,140.679993,141.690002,132.600006,135.919998,126.490036,1476000
2016-03-03,134.919998,141.220001,134.860001,140.059998,130.342804,1025600
2016-03-04,141.250000,144.889999,140.300003,141.729996,131.896957,1342000
2016-03-07,141.639999,143.220001,139.630005,141.619995,131.794617,992400
